date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-04-19,0,23,0,0,3,3,0,3,8,0,0,3,0,0,0,0,0,0
2014-04-20,0,24,0,0,3,3,0,4,33,0,0,4,0,0,0,0,0,0
2014-04-21,0,23,0,0,3,3,0,5,56,0,0,5,0,0,0,0,0,0
2014-04-22,0,24,0,0,3,3,0,6,80,0,0,6,0,0,0,0,0,0
2014-04-23,0,24,0,0,3,3,0,7,104,0,0,7,0,0,0,0,0,0
2014-04-24,0,25,0,0,3,3,0,8,128,0,0,8,0,0,0,0,0,0
2014-04-25,0,25,0,0,3,3,0,9,152,0,0,9,0,0,0,0,0,0
2014-04-26,0,25,0,0,3,3,0,10,176,0,0,10,0,0,0,0,0,0
2014-04-27,0,25,0,0,3,3,0,11,201,0,0,11,0,0,0,0,0,0
2014-04-28,0,25,0,0,3,3,0,11,224,0,0,11,0,0,0,0,0,0
2014-04-29,0,25,0,0,3,3,0,12,248,0,0,12,0,0,0,0,0,0
2014-04-30,0,25,0,0,3,3,0,13,273,0,0,13,0,0,0,0,0,0
2014-05-01,0,27,0,0,3,3,0,14,296,0,0,14,0,0,0,0,0,0
2014-05-02,0,27,0,0,3,3,0,15,320,0,0,15,0,0,0,0,0,0
2014-05-03,0,27,0,0,3,3,0,16,344,0,0,16,0,0,0,0,0,0
2014-05-04,0,27,0,0,3,3,0,17,369,0,0,17,0,0,0,0,0,0
2014-05-05,0,27,0,0,3,3,0,17,392,0,0,17,0,0,0,0,0,0
2014-05-06,0,27,0,0,3,3,0,17,416,0,0,17,0,0,0,0,0,0
2014-05-07,0,27,0,0,3,3,0,17,441,0,0,17,0,0,0,0,0,0
2014-05-08,0,26,0,0,3,3,0,17,464,0,0,17,0,0,0,0,0,0
2014-05-09,0,26,0,0,3,3,0,17,488,0,0,17,0,0,0,0,0,0
2014-05-10,0,26,0,0,3,3,0,17,513,0,0,17,0,0,0,0,0,0
2014-05-11,0,26,0,0,3,3,0,17,536,0,0,17,0,0,0,0,0,0
2014-05-12,0,26,0,0,3,3,0,17,560,0,0,17,0,0,0,0,0,0
2014-05-13,0,26,0,0,3,3,0,17,584,0,0,17,0,0,0,0,0,0
2014-05-14,0,26,0,0,3,3,0,17,608,0,0,17,0,0,0,0,0,0
2014-05-15,0,27,0,0,3,3,0,17,632,0,0,17,0,0,0,0,0,0
2014-05-16,0,26,0,0,3,3,0,17,656,0,0,17,0,0,0,0,0,0
2014-05-17,0,26,0,0,3,3,0,17,681,0,0,17,0,0,0,0,0,0
2014-05-18,0,27,0,0,3,3,0,17,704,0,0,17,0,0,0,0,0,0
2014-05-19,0,27,0,0,3,3,0,17,728,0,0,17,0,0,0,0,0,0
2014-05-20,0,30,0,0,3,3,0,17,753,0,0,17,0,0,0,0,0,0
2014-05-21,0,29,0,0,3,3,0,17,776,0,0,17,0,0,0,0,0,0
2014-05-22,0,30,0,0,3,3,0,17,800,0,0,17,0,0,0,0,0,0
2014-05-23,0,30,0,0,3,3,0,17,825,0,0,17,0,0,0,0,0,0
2014-05-24,0,29,0,0,3,3,0,17,848,0,0,17,0,0,0,0,0,0
2014-05-25,0,29,0,0,3,3,0,17,872,0,0,17,0,0,0,0,0,0
2014-05-26,0,29,0,0,3,3,0,17,896,0,0,17,0,0,0,0,0,0
2014-05-27,0,29,0,0,3,3,0,17,921,0,0,17,0,0,0,0,0,0
2014-05-28,0,29,0,0,3,3,0,17,944,0,0,17,0,0,0,0,0,0
2014-05-29,0,30,0,0,3,3,0,17,968,0,0,17,0,0,0,0,0,0
2014-05-30,0,30,0,0,3,3,0,17,993,0,0,17,0,0,0,0,0,0
2014-05-31,0,30,0,0,3,3,0,17,1016,0,0,17,0,0,0,0,0,0
2014-06-01,0,30,0,0,3,3,0,17,1040,0,0,17,0,0,0,0,0,0
2014-06-02,0,30,0,0,3,3,0,17,1064,0,0,17,0,0,0,0,0,0
2014-06-03,0,29,0,0,3,3,0,17,1088,0,0,17,0,0,0,0,0,0
2014-06-04,0,30,0,0,3,3,0,17,1112,0,0,17,0,0,0,0,0,0
2014-06-05,0,30,0,0,3,3,0,17,1137,0,0,17,0,0,0,0,0,0
